Ride_ID,Customer_ID,Driver_ID,Booking_Date,Booking_Time,City,Pickup_Location,Drop_Location,Vehicle_Type,Distance_KM,Ride_Duration_Min,Base_Fare,Discount,Final_Fare,Payment_Method,Ride_Status,Customer_Rating,Driver_Age,Customer_Age,Surge_Pricing
RIDE000020,CUST2113,DR791,2025-02-11,10:02:00,Kolkata,Chaudhari Path,Vasa Street,Bike,33.67,15,756.66,12.96,743.7,Debit Card,Completed,5,36,55,Yes
RIDE000021,CUST5272,DR309,2025-03-01,16:45:00,Chennai,Sampath Path,Goda Circle,Cab,15.25,79,268.54,21.24,247.3,Credit Card,Completed,3,46,26,No
RIDE000022,CUST2638,DR175,2025-11-29,22:34:00,Hyderabad,Ramanathan Circle,Bhalla Zila,Bike,11.75,101,280.91,0.65,280.26,Wallet,Cancelled,2,43,22,Yes
RIDE000023,CUST9666,DR108,2025-09-27,01:57:00,Chennai,Devan Chowk,Mannan,Cab,10.69,61,237.04,41.69,195.35,Credit Card,In Progress,1,29,34,Yes
RIDE000024,CUST6617,DR308,2025-03-19,22:35:00,Chennai,Lall,Sami Circle,Cab,26.24,24,331.41,50.11,281.3,Credit Card,In Progress,4,37,21,Yes
RIDE000025,CUST5291,DR265,2025-11-05,10:31:00,Chennai,Khatri Circle,Dalal Zila,Auto,29.2,10,235.36,45.37,189.99,Wallet,In Progress,4,21,25,Yes
RIDE000026,CUST8041,DR230,2025-04-19,12:54:00,Mumbai,Dayal Marg,Loke,Auto,19.55,111,279.11,38.55,240.56,Credit Card,Completed,3,34,33,Yes
RIDE000027,CUST3532,DR342,2025-09-15,12:58:00,Kolkata,Kadakia Zila,Sharma,Bike,27.52,118,629.39,153.23,476.16,Cash,Cancelled,1,32,39,No
RIDE000028,CUST1634,DR979,2025-06-30,17:02:00,Delhi,Kapadia Chowk,Handa Chowk,Bike,10.07,105,200.61,19.19,181.42,Cash,Cancelled,3,40,32,Yes
RIDE000029,CUST5573,DR459,2025-01-18,05:33:00,Chennai,Trivedi Nagar,Edwin,Cab,23.44,56,318.33,68.79,249.54,Debit Card,In Progress,5,42,19,Yes
RIDE000030,CUST6663,DR846,2025-07-10,05:03:00,Kolkata,Virk Chowk,Rajagopal Chowk,Auto,7.07,38,61.16,9.12,52.04,Debit Card,In Progress,5,28,42,Yes
RIDE000031,CUST9821,DR803,2025-07-05,11:35:00,Chennai,Sinha Road,Datta Zila,Cab,2.51,60,20.15,4.66,15.49,Cash,Cancelled,4,25,60,No
RIDE000032,CUST6067,DR782,2025-08-17,14:04:00,Delhi,Sanghvi Ganj,Sachar Road,Auto,23.56,20,476.76,35.8,440.96,Debit Card,In Progress,3,29,30,No
RIDE000033,CUST7653,DR661,2025-10-04,02:02:00,Kolkata,Borah Ganj,Baral Street,Bike,24.03,120,263.33,37.47,225.86,Credit Card,Cancelled,2,48,55,No
RIDE000034,CUST3780,DR774,2025-12-05,14:15:00,Mumbai,Rajagopal Zila,Bassi,Auto,16.02,91,186.36,22.05,164.31,Wallet,In Progress,5,42,23,Yes
RIDE000035,CUST8784,DR725,2025-08-15,00:58:00,Kolkata,Ramesh Ganj,Tiwari Marg,Bike,8.64,30,90.76,1.05,89.71,Debit Card,Cancelled,5,33,42,No
RIDE000036,CUST2746,DR897,2025-10-19,00:26:00,Delhi,Basu Marg,Wable Circle,Bike,9.3,88,183.11,40.86,142.25,Cash,In Progress,5,50,21,Yes
RIDE000037,CUST6198,DR873,2025-03-30,08:53:00,Delhi,Wagle Nagar,Agrawal Chowk,Cab,16.52,107,262.65,34.88,227.77,Wallet,Cancelled,5,49,28,No
RIDE000038,CUST9540,DR596,2025-11-24,17:32:00,Chennai,Ranganathan Street,Choudhary Nagar,Bike,9.81,36,218.54,15.15,203.39,Credit Card,Cancelled,1,39,33,No
RIDE000039,CUST7275,DR810,2025-09-02,13:21:00,Pune,Sengupta Marg,Divan Road,Cab,11.87,74,111.22,4.19,107.03,Cash,Completed,4,47,39,No
RIDE000040,CUST1320,DR977,2025-10-30,18:10:00,Kolkata,Randhawa Ganj,Wadhwa Marg,Cab,3.12,111,47.24,10.69,36.55,Debit Card,Cancelled,1,43,37,No
RIDE000041,CUST4613,DR599,2025-11-02,02:55:00,Pune,Dutta Chowk,Sunder Zila,Auto,19.3,99,333.59,50.31,283.28,Debit Card,Cancelled,1,45,39,No
RIDE000042,CUST7455,DR706,2025-05-01,04:21:00,Hyderabad,Verma Marg,Jayaraman Ganj,Cab,29.58,21,729.81,97.45,632.36,UPI,Completed,4,29,47,Yes
RIDE000043,CUST7211,DR384,2025-02-06,14:47:00,Kolkata,Butala Chowk,Saxena,Auto,9.85,46,114.24,9.33,104.91,Credit Card,Completed,4,22,52,Yes
RIDE000044,CUST1508,DR353,2025-09-12,20:00:00,Pune,Karpe Circle,Saini Nagar,Bike,8.62,13,183.44,29.89,153.55,Wallet,Completed,2,29,48,Yes
RIDE000045,CUST2876,DR896,2025-06-08,17:12:00,Kolkata,Tiwari Nagar,Choudhary Path,Bike,16.81,37,353.64,14.83,338.81,Credit Card,Completed,5,22,37,No
RIDE000046,CUST4978,DR204,2025-10-16,20:02:00,Chennai,Lal Marg,Banik Chowk,Auto,33.01,30,306.73,52.96,253.77,Wallet,Completed,5,23,40,No
RIDE000047,CUST9031,DR208,2025-09-27,20:11:00,Delhi,Mandal Ganj,Jayaraman Street,Auto,3.34,87,46.1,9.79,36.31,Debit Card,In Progress,2,48,29,No
RIDE000048,CUST5022,DR950,2025-12-19,01:43:00,Mumbai,Madan Path,Dash Nagar,Auto,16.81,110,343.39,23.04,320.35,Debit Card,Completed,4,45,39,Yes
RIDE000049,CUST5232,DR448,2025-12-26,22:37:00,Bangalore,Barad Path,Raju Marg,Cab,29.93,28,487.51,43.25,444.26,Credit Card,In Progress,1,54,30,Yes
RIDE000050,CUST8800,DR761,2025-06-25,18:00:00,Chennai,Bassi Circle,Kale Street,Auto,25.48,67,444.32,26.7,417.62,Debit Card,Completed,1,39,32,No
RIDE000051,CUST6632,DR535,2025-06-27,04:03:00,Chennai,Rama Street,Dass Road,Cab,11.41,79,162.86,22.53,140.33,Credit Card,Cancelled,4,38,37,No
RIDE000052,CUST4033,DR296,2025-06-17,20:56:00,Pune,Madan Path,Chada Road,Cab,5.1,29,68.16,12.66,55.5,Debit Card,Cancelled,5,54,56,No
RIDE000053,CUST1231,DR825,2025-03-15,04:49:00,Hyderabad,Saha Nagar,Barman Street,Bike,29.31,42,347.83,15.6,332.23,Credit Card,Completed,1,39,26,No
RIDE000054,CUST6582,DR288,2025-03-16,16:50:00,Mumbai,Dayal Road,Bumb Ganj,Auto,30.67,78,393.61,47.11,346.5,Debit Card,Completed,1,46,49,Yes
RIDE000055,CUST5066,DR221,2025-02-09,00:53:00,Hyderabad,Kara Road,Barad Ganj,Auto,6.16,108,108.22,8.22,100.0,Wallet,In Progress,5,35,51,No
RIDE000056,CUST6003,DR682,2025-11-25,01:18:00,Hyderabad,Ravi,Srinivas Circle,Bike,31.89,43,721.44,178.56,542.88,Wallet,In Progress,1,34,58,Yes
RIDE000057,CUST3564,DR102,2025-07-12,17:01:00,Delhi,Dubey Zila,Bassi Street,Auto,23.45,25,283.22,39.08,244.14,Wallet,Cancelled,3,23,32,No
RIDE000058,CUST5334,DR906,2025-07-25,20:51:00,Kolkata,Saran,Ramesh,Cab,24.9,63,229.33,13.38,215.95,Wallet,In Progress,2,48,25,Yes
RIDE000059,CUST6039,DR709,2025-04-19,11:46:00,Chennai,Lanka Path,Saraf Circle,Cab,31.89,110,332.23,4.95,327.28,Credit Card,Cancelled,1,50,37,No
RIDE000060,CUST8078,DR852,2025-07-18,05:50:00,Bangalore,Sem Chowk,Sastry,Cab,18.02,68,278.26,41.6,236.66,Credit Card,Completed,1,35,54,Yes
RIDE000061,CUST8245,DR384,2025-07-16,06:02:00,Pune,Krishnan Street,Bhavsar Circle,Cab,20.59,102,429.44,50.51,378.93,Debit Card,In Progress,4,26,48,No
RIDE000062,CUST7744,DR810,2025-10-25,08:24:00,Delhi,Jha Nagar,Gola Circle,Auto,12.33,90,120.57,4.85,115.72,Debit Card,In Progress,1,50,23,No
RIDE000063,CUST1018,DR773,2025-07-03,18:59:00,Kolkata,Karnik,Kashyap Zila,Cab,11.99,103,178.3,22.94,155.36,Debit Card,Cancelled,1,33,51,No
RIDE000064,CUST3146,DR394,2025-12-29,23:47:00,Delhi,Boase Marg,Sunder Road,Cab,22.26,102,197.61,13.19,184.42,Debit Card,Completed,1,36,28,No
RIDE000065,CUST2858,DR572,2025-01-10,22:58:00,Mumbai,Borra Nagar,Barman Circle,Cab,19.78,16,233.8,49.18,184.62,Cash,Cancelled,3,53,35,No
RIDE000066,CUST4122,DR713,2025-12-18,08:17:00,Hyderabad,Lal Marg,Grover Chowk,Cab,34.33,36,541.23,19.57,521.66,Cash,Completed,3,47,39,No
RIDE000067,CUST9022,DR986,2025-01-02,20:49:00,Pune,Sampath Circle,Vora Circle,Auto,10.62,43,236.16,34.24,201.92,Wallet,Cancelled,3,42,53,No
RIDE000068,CUST7274,DR339,2025-11-28,13:43:00,Kolkata,Kibe Circle,Khalsa,Auto,32.72,116,366.7,63.94,302.76,UPI,Cancelled,4,45,42,Yes
RIDE000069,CUST2644,DR995,2025-12-27,16:29:00,Kolkata,Chakrabarti Marg,Gola Path,Auto,33.8,21,559.02,82.48,476.54,UPI,In Progress,4,21,27,No
RIDE000070,CUST7512,DR765,2025-04-23,09:39:00,Mumbai,Mahajan Zila,Sharaf Street,Auto,3.54,105,86.65,7.33,79.32,Wallet,Cancelled,3,52,52,Yes
RIDE000071,CUST2480,DR544,2025-02-19,19:44:00,Mumbai,Rau Ganj,Kamdar Ganj,Cab,8.98,92,212.43,52.97,159.46,UPI,Cancelled,2,40,19,Yes
RIDE000072,CUST5000,DR643,2025-08-25,04:51:00,Delhi,Taneja Zila,Kohli Marg,Cab,28.07,42,395.62,42.6,353.02,Cash,Completed,2,26,57,No
RIDE000073,CUST5161,DR570,2025-06-25,08:48:00,Bangalore,Amble Street,Krishnan Ganj,Cab,17.92,79,186.96,21.55,165.41,UPI,Cancelled,3,55,28,Yes
RIDE000074,CUST5097,DR567,2025-11-18,15:47:00,Kolkata,Venkatesh Marg,Chatterjee Nagar,Auto,33.14,80,433.66,104.3,329.36,Cash,Cancelled,4,27,33,No
RIDE000075,CUST7484,DR381,2025-09-19,09:15:00,Mumbai,Gala Circle,Gera Street,Cab,20.54,94,267.41,65.38,202.03,UPI,In Progress,4,39,32,No
RIDE000076,CUST3240,DR743,2025-06-09,11:22:00,Mumbai,Boase Chowk,Mammen Chowk,Cab,22.65,84,277.7,52.46,225.24,UPI,Cancelled,4,23,55,No
RIDE000077,CUST4289,DR235,2025-04-06,16:35:00,Kolkata,Ahuja Street,Krishnan Marg,Cab,4.06,42,55.03,5.72,49.31,Credit Card,In Progress,5,38,28,No
RIDE000078,CUST2886,DR579,2025-12-17,20:54:00,Mumbai,Sandal Circle,Barad Marg,Bike,33.89,42,701.24,59.38,641.86,Cash,In Progress,4,44,23,No
RIDE000079,CUST5295,DR698,2025-01-11,03:14:00,Delhi,Mander Path,Mann Circle,Cab,9.99,20,157.16,26.44,130.72,Credit Card,Completed,2,51,19,No
RIDE000080,CUST5951,DR764,2025-06-11,04:40:00,Delhi,Kade Nagar,Thaman Street,Bike,23.02,86,506.57,115.17,391.4,Cash,Completed,1,40,49,Yes
RIDE000081,CUST9850,DR529,2025-03-12,18:33:00,Hyderabad,Mani Road,Tripathi Ganj,Cab,8.98,73,92.55,10.5,82.05,Cash,Cancelled,1,52,57,No
RIDE000082,CUST4868,DR975,2025-07-23,16:48:00,Bangalore,Banik Road,Badami Road,Bike,2.11,52,24.67,2.74,21.93,Credit Card,In Progress,3,24,43,No
RIDE000083,CUST4475,DR757,2025-05-19,05:08:00,Chennai,Grewal Street,Kibe Chowk,Cab,33.92,113,746.62,17.11,729.51,UPI,Completed,3,36,26,Yes
RIDE000084,CUST4817,DR436,2025-02-19,23:02:00,Kolkata,Iyer Nagar,Rao Road,Bike,29.21,75,336.55,18.17,318.38,Wallet,Completed,3,30,26,No
RIDE000085,CUST4898,DR702,2025-05-08,01:33:00,Bangalore,Choudhury,Kunda Circle,Bike,4.74,115,40.0,0.15,39.85,Cash,Cancelled,1,29,44,Yes
RIDE000086,CUST8405,DR615,2025-02-16,06:45:00,Pune,Anand Chowk,Venkataraman Ganj,Cab,17.19,104,243.32,36.11,207.21,UPI,In Progress,5,40,47,Yes
RIDE000087,CUST9032,DR829,2025-02-14,07:00:00,Delhi,Handa Circle,Kari Circle,Bike,34.95,113,518.22,88.89,429.33,UPI,Cancelled,5,30,22,Yes
RIDE000088,CUST9692,DR401,2025-07-20,06:15:00,Delhi,Buch Path,Sarkar Zila,Cab,22.23,79,385.07,31.3,353.77,Wallet,Cancelled,1,28,59,Yes
RIDE000089,CUST7532,DR525,2025-11-10,04:01:00,Chennai,Vasa Chowk,Mandal Street,Bike,16.35,34,245.82,50.85,194.97,Credit Card,Cancelled,3,37,41,Yes
RIDE000090,CUST7105,DR931,2025-12-12,08:25:00,Pune,Raj Chowk,Shroff Zila,Cab,3.28,111,31.0,3.35,27.65,UPI,In Progress,5,42,60,Yes
RIDE000091,CUST1842,DR394,2025-10-27,03:24:00,Hyderabad,Verma,Manda Street,Auto,13.02,90,312.47,33.04,279.43,Credit Card,Completed,5,53,31,Yes
RIDE000092,CUST2882,DR880,2025-12-18,02:52:00,Bangalore,Brahmbhatt Path,Deshpande Street,Cab,8.62,18,120.27,16.73,103.54,Cash,Cancelled,5,22,56,No
RIDE000093,CUST6751,DR106,2025-01-22,01:59:00,Pune,Choudhary Nagar,Wali,Bike,7.13,94,149.45,34.43,115.02,Wallet,In Progress,4,25,27,Yes
RIDE000094,CUST3578,DR478,2025-03-08,19:34:00,Bangalore,Ravel Chowk,Dey Nagar,Cab,26.37,32,379.6,43.05,336.55,Credit Card,In Progress,5,26,21,Yes
RIDE000095,CUST7947,DR597,2025-04-25,14:56:00,Hyderabad,Sani Chowk,Brahmbhatt Zila,Auto,26.65,11,518.54,35.27,483.27,Debit Card,Cancelled,2,53,25,No
RIDE000096,CUST6053,DR146,2025-11-10,01:17:00,Pune,Desai Path,Bhatnagar Ganj,Auto,4.77,91,93.18,11.34,81.84,Wallet,Completed,1,34,37,Yes
RIDE000097,CUST8055,DR279,2025-04-10,22:21:00,Pune,Tiwari Road,Sagar Marg,Auto,26.98,42,366.34,0.71,365.63,Wallet,In Progress,2,53,53,No
RIDE000098,CUST2275,DR982,2025-02-22,11:36:00,Bangalore,Sankaran Road,Balay Path,Cab,14.5,99,126.43,0.59,125.84,Debit Card,In Progress,4,47,36,Yes
RIDE000099,CUST8538,DR951,2025-10-22,22:27:00,Chennai,Hegde Marg,Varghese,Auto,1.71,46,18.68,4.43,14.25,UPI,Cancelled,1,36,45,No
RIDE000100,CUST3754,DR178,2025-02-27,06:27:00,Hyderabad,Lalla,Grover,Cab,14.46,44,299.01,16.56,282.45,UPI,In Progress,5,33,40,No
RIDE000101,CUST3504,DR878,2025-04-18,13:04:00,Kolkata,Ramaswamy Ganj,Kaul Path,Cab,9.03,23,111.53,4.84,106.69,UPI,Completed,4,50,54,No
RIDE000102,CUST8682,DR552,2025-08-24,08:28:00,Chennai,Aggarwal Marg,Halder Chowk,Auto,30.38,85,406.31,44.67,361.64,Credit Card,In Progress,1,43,50,Yes
RIDE000103,CUST2257,DR760,2025-08-15,00:46:00,Kolkata,Venkatesh Nagar,Boase,Bike,16.7,9,149.75,31.14,118.61,Wallet,In Progress,5,45,47,Yes
RIDE000104,CUST8792,DR613,2025-11-24,11:39:00,Pune,Sood Zila,Kothari Marg,Bike,31.91,78,608.88,48.94,559.94,Debit Card,Completed,3,26,50,Yes
RIDE000105,CUST3600,DR472,2025-01-29,12:03:00,Bangalore,Khanna Path,Sethi Zila,Auto,9.42,61,234.06,30.67,203.39,Debit Card,Cancelled,3,24,58,No
RIDE000106,CUST3463,DR441,2025-02-17,23:53:00,Mumbai,Vohra Road,Chanda Circle,Cab,12.21,76,238.49,16.94,221.55,Cash,Cancelled,3,46,26,Yes
RIDE000107,CUST9624,DR195,2025-08-14,10:20:00,Chennai,Tank Chowk,Lal Ganj,Cab,20.0,87,429.17,87.25,341.92,Debit Card,In Progress,3,22,41,No
RIDE000108,CUST4711,DR240,2025-05-12,06:19:00,Pune,Sharma Zila,Varma Marg,Bike,33.34,48,803.84,97.72,706.12,Credit Card,Completed,5,55,51,Yes
RIDE000109,CUST3658,DR285,2025-09-03,05:23:00,Kolkata,Dube Nagar,Das,Cab,30.8,84,315.02,29.67,285.35,Wallet,Completed,4,23,44,No
RIDE000110,CUST8355,DR339,2025-06-22,23:08:00,Hyderabad,Ganesh Chowk,Amble,Bike,33.97,83,436.3,81.65,354.65,Credit Card,Cancelled,2,44,54,No
RIDE000111,CUST3655,DR936,2025-12-03,04:26:00,Pune,Behl Street,Bhat Ganj,Cab,27.16,104,393.6,51.9,341.7,Cash,Cancelled,1,51,41,Yes
RIDE000112,CUST9410,DR250,2025-04-01,18:54:00,Kolkata,Gaba,Suresh Marg,Auto,10.69,102,114.65,12.88,101.77,UPI,Completed,4,43,19,No
RIDE000113,CUST7142,DR329,2025-02-08,18:43:00,Mumbai,Seshadri Chowk,Kapoor Road,Auto,14.48,52,173.88,43.23,130.65,UPI,In Progress,3,30,26,Yes
RIDE000114,CUST8685,DR559,2025-07-28,21:34:00,Hyderabad,Bandi Ganj,Edwin Street,Bike,32.19,65,638.43,22.15,616.28,UPI,Completed,3,34,27,No
RIDE000115,CUST7878,DR754,2025-03-22,23:07:00,Kolkata,Lad Zila,Anand Path,Cab,27.39,35,359.35,4.29,355.06,Debit Card,Completed,1,52,56,Yes
RIDE000116,CUST4941,DR684,2025-06-26,04:10:00,Delhi,Agate Marg,Bhatt Chowk,Bike,25.43,42,389.0,59.79,329.21,UPI,In Progress,3,25,51,Yes
RIDE000117,CUST5155,DR865,2025-10-12,07:40:00,Mumbai,Agrawal Ganj,Garde Ganj,Auto,30.69,10,577.17,141.56,435.61,UPI,Cancelled,2,27,55,No
RIDE000118,CUST8612,DR812,2025-04-08,03:30:00,Delhi,Suri,Bera Chowk,Cab,2.51,74,34.53,5.55,28.98,Cash,Completed,1,50,20,No
RIDE000119,CUST6080,DR627,2025-05-27,19:03:00,Delhi,Shenoy Path,Varghese Street,Cab,2.49,30,57.42,4.53,52.89,Debit Card,Cancelled,1,33,36,No
RIDE000120,CUST8159,DR509,2025-02-04,19:26:00,Chennai,Saini Circle,Yadav Zila,Auto,30.44,47,384.9,76.92,307.98,Debit Card,Cancelled,2,52,49,No
RIDE000121,CUST3956,DR658,2025-07-14,05:16:00,Bangalore,Cherian Path,Deshpande Circle,Auto,28.24,98,429.71,46.26,383.45,UPI,Completed,3,39,37,No
RIDE000122,CUST6776,DR729,2025-11-07,06:55:00,Delhi,Karan Ganj,Buch Circle,Auto,6.67,61,93.22,0.99,92.23,UPI,Completed,4,44,50,Yes
RIDE000123,CUST3068,DR168,2025-01-23,16:13:00,Pune,Loyal Ganj,Kaur Street,Cab,5.85,82,114.24,12.51,101.73,Credit Card,Cancelled,4,23,56,Yes
RIDE000124,CUST3255,DR642,2025-11-24,14:58:00,Bangalore,Yadav Ganj,Vaidya Chowk,Auto,33.26,52,517.09,9.94,507.15,Credit Card,In Progress,3,36,25,Yes
RIDE000125,CUST5264,DR820,2025-05-16,11:25:00,Delhi,Grewal Path,Grover Street,Bike,17.97,54,422.84,12.45,410.39,Wallet,Cancelled,4,33,25,Yes
RIDE000126,CUST6236,DR783,2025-02-23,22:09:00,Bangalore,Golla Zila,Gopal Road,Cab,16.37,120,329.48,82.14,247.34,UPI,In Progress,5,39,37,Yes
RIDE000127,CUST3275,DR342,2025-05-07,18:27:00,Kolkata,Sarkar Ganj,Ahuja Path,Auto,27.99,70,330.62,81.43,249.19,UPI,Cancelled,5,44,47,Yes
RIDE000128,CUST9612,DR520,2025-03-04,18:43:00,Kolkata,Dar Road,Srinivasan,Auto,3.24,55,80.98,14.55,66.43,Wallet,Completed,2,41,59,Yes
RIDE000129,CUST3981,DR886,2025-11-24,15:52:00,Pune,Brar Circle,Chhabra Path,Auto,16.84,71,233.35,51.22,182.13,Wallet,Completed,1,54,27,No
RIDE000130,CUST9501,DR390,2025-04-30,21:35:00,Kolkata,Kara Nagar,Sule Ganj,Bike,6.51,95,77.03,18.25,58.78,Credit Card,Completed,5,38,26,No
RIDE000131,CUST3804,DR774,2025-03-10,00:46:00,Hyderabad,Kara Nagar,Sha Road,Cab,18.09,26,326.72,47.43,279.29,Wallet,Cancelled,5,23,19,Yes
RIDE000132,CUST7825,DR732,2025-02-03,02:30:00,Chennai,Dhaliwal,Viswanathan Street,Bike,33.25,103,592.02,96.37,495.65,Debit Card,In Progress,5,39,59,No
RIDE000133,CUST2195,DR805,2025-12-18,16:04:00,Mumbai,Magar Ganj,Chadha Marg,Bike,9.33,108,183.29,13.63,169.66,Debit Card,Cancelled,4,50,31,No
RIDE000134,CUST6658,DR508,2025-04-15,14:47:00,Pune,Khosla Road,Suri Circle,Auto,11.63,96,156.17,38.57,117.6,Wallet,In Progress,1,41,33,No
RIDE000135,CUST7293,DR984,2025-03-31,05:13:00,Hyderabad,Sem Street,Bali Nagar,Auto,10.09,36,104.88,1.33,103.55,Cash,Completed,3,41,30,Yes
RIDE000136,CUST1379,DR192,2025-12-29,19:49:00,Delhi,Buch Ganj,Khanna Road,Cab,34.86,64,574.45,44.31,530.14,Debit Card,Completed,2,43,21,Yes
RIDE000137,CUST5681,DR649,2025-07-24,21:03:00,Mumbai,Saini Street,Wagle Nagar,Bike,17.83,117,398.12,66.94,331.18,Debit Card,Completed,3,44,43,No
RIDE000138,CUST5728,DR175,2025-02-02,22:40:00,Delhi,Shan Nagar,Kalita Nagar,Cab,14.62,77,256.59,23.25,233.34,Debit Card,In Progress,3,28,26,Yes
RIDE000139,CUST3363,DR303,2025-10-14,19:57:00,Hyderabad,Sura Zila,Gala Circle,Cab,13.69,48,239.34,21.88,217.46,Debit Card,In Progress,1,23,20,Yes
RIDE000140,CUST9446,DR243,2025-08-31,12:18:00,Bangalore,Rajagopal Nagar,Dhillon Zila,Cab,28.33,71,446.73,67.71,379.02,Credit Card,Completed,4,40,55,No
RIDE000141,CUST6427,DR789,2025-12-23,16:41:00,Mumbai,Kuruvilla Chowk,Kari Circle,Auto,25.1,43,403.44,1.68,401.76,Wallet,Cancelled,1,51,34,Yes
RIDE000142,CUST7229,DR251,2025-02-07,09:29:00,Kolkata,Yadav Zila,Cheema,Cab,20.84,26,352.45,63.55,288.9,Cash,Completed,5,28,30,Yes
RIDE000143,CUST9221,DR893,2025-11-18,03:42:00,Hyderabad,Luthra Path,Barad Street,Auto,11.67,24,175.29,8.94,166.35,UPI,In Progress,2,54,31,No
RIDE000144,CUST9734,DR450,2025-12-15,08:08:00,Hyderabad,Mallick Circle,Arya Marg,Auto,18.87,45,457.86,52.62,405.24,Credit Card,In Progress,4,33,33,No
RIDE000145,CUST9011,DR424,2025-08-06,08:39:00,Delhi,Das Circle,Varty Circle,Auto,8.65,43,182.6,32.18,150.42,Wallet,In Progress,3,39,25,No
RIDE000146,CUST5712,DR831,2025-10-15,06:57:00,Mumbai,Gera Path,Dewan Ganj,Auto,28.82,103,624.77,45.37,579.4,Debit Card,In Progress,3,51,31,Yes
RIDE000147,CUST4920,DR348,2025-07-17,10:23:00,Mumbai,Bains Chowk,Dhar Path,Cab,32.72,94,412.85,11.27,401.58,Wallet,Completed,2,24,24,No
RIDE000148,CUST3587,DR516,2025-08-29,12:17:00,Chennai,Chada Circle,Shenoy Path,Auto,25.39,17,497.14,17.09,480.05,Debit Card,In Progress,2,39,38,No
RIDE000149,CUST1611,DR279,2025-02-13,01:56:00,Delhi,Kanda Chowk,Boase Nagar,Bike,31.87,16,608.37,35.32,573.05,UPI,Cancelled,4,32,36,Yes
